Comunidades autónomas;Tipología penal;Periodos:;Total
BALEARS (ILLES);8. Hurtos;enero-marzo 2023;3.676
BALEARS (ILLES);8. Hurtos;enero-marzo 2024;3.399
BALEARS (ILLES);8. Hurtos;Variación % 2024/2023;-7,5
BALEARS (ILLES);9. Sustracciones de vehículos;enero-marzo 2023;377
BALEARS (ILLES);9. Sustracciones de vehículos;enero-marzo 2024;335
BALEARS (ILLES);9. Sustracciones de vehículos;Variación % 2024/2023;-11,1
BALEARS (ILLES);10. Tráfico de drogas;enero-marzo 2023;70
BALEARS (ILLES);10. Tráfico de drogas;enero-marzo 2024;133
BALEARS (ILLES);10. Tráfico de drogas;Variación % 2024/2023;90,0
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-marzo 2023;7.545
BALEARS (ILLES);11. Resto de criminalidad convencional;enero-marzo 2024;7.690
BALEARS (ILLES);11. Resto de criminalidad convencional;Variación % 2024/2023;1,9
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;2.565
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2024;3.488
BALEARS (ILLES);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;36,0
BALEARS (ILLES);12.-Estafas informáticas;enero-marzo 2023;2.279
BALEARS (ILLES);12.-Estafas informáticas;enero-marzo 2024;3.123
BALEARS (ILLES);12.-Estafas informáticas;Variación % 2024/2023;37,0
BALEARS (ILLES);13.-Otros ciberdelitos;enero-marzo 2023;286
BALEARS (ILLES);13.-Otros ciberdelitos;enero-marzo 2024;365
BALEARS (ILLES);13.-Otros ciberdelitos;Variación % 2024/2023;27,6
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;15.552
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;16.376
BALEARS (ILLES);III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,3
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;21.990
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;23.976
CANARIAS;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;9,0
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;3
CANARIAS;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;2
CANARIAS;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-33,3
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;12
CANARIAS;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;8
